instance_id,actions
cylinder_game_000000,L_4 L_4 L_4 L_5 R_1 L_5 L_3 L_2 R_0 L_5 TR D_6 R_1 TR
cylinder_game_000001,
cylinder_game_000002,L_0 L_3 L_0 L_3 L_5 L_3 R_4 L_2 R_1 R_4
cylinder_game_000003,R_5 D_6 R_3 R_5 R_5 R_4 R_3 R_2 R_1 R_2 R_3 R_5 R_0 R_0 R_1 R_4
cylinder_game_000004,
cylinder_game_000005,R_5 R_4 R_3 R_3 TL R_4 L_1 D_6 TR L_1 R_3 R_4
cylinder_game_000006,L_5 L_4 D_5 TL L_5 L_1 L_5 TL D_6 R_2
cylinder_game_000007,TR L_2 L_3 R_1 TR L_0 L_0 L_5 L_2 TR
cylinder_game_000008,
cylinder_game_000009,R_5 D_6 R_5 R_3 TL L_2 TL R_0 L_4 R_5 L_2 L_1 R_3 R_3
cylinder_game_000010,TL D_6 L_0 L_5 TL L_0 L_5 L_2 R_1 R_4
cylinder_game_000011,R_5 R_0 TL R_5 R_1 D_6 L_3 L_3 L_2 R_1
cylinder_game_000012,TL R_3 R_3 L_2 L_1 D_5 L_4 D_6 L_1 TL L_1 R_3
cylinder_game_000013,R_5 R_2 R_1 TL R_4 R_3 R_2 D_6 R_1 R_4
cylinder_game_000014,
cylinder_game_000015,L_1 L_0 L_4 L_4 L_5 R_2 R_2 L_0 TL L_0 R_2 L_1 R_3 R_3
cylinder_game_000016,L_0 TR R_2 R_4 TR D_5 R_1 D_6 R_2 L_0 R_3 R_3
cylinder_game_000017,R_1 R_2 D_6 L_4 R_5 R_5 R_1 TR R_2 TR R_0 R_0 R_1 R_3
cylinder_game_000018,
cylinder_game_000019,L_2 TR TR D_6 TL TL R_1 R_1 L_2 L_0 R_5 L_3 R_4 L_2 R_1 R_4
cylinder_game_000020,
cylinder_game_000021,L_5 L_5 R_4 D_6 R_2 R_4 R_1 R_5 R_2 R_3 TL R_0 R_1 R_4
cylinder_game_000022,R_5 R_4 R_4 R_1 TR R_2 R_2 R_1 L_3 L_3 D_6 TR R_1 R_4
cylinder_game_000023,R_5 TR L_0 D_6 L_3 L_1 TR L_2 TR R_5
cylinder_game_000024,
cylinder_game_000025,
cylinder_game_000026,L_5 D_6 R_4 R_3 R_4 R_3 TL R_5 R_2 R_4
cylinder_game_000027,D_4 L_1 D_5 L_4 L_3 L_1 L_2 R_0 D_6 L_4 TR L_4
cylinder_game_000028,R_2 R_0 TR L_3 L_5 D_6 R_0 TR L_5 L_1 R_2 R_4
cylinder_game_000029,R_3 R_3 L_2 TL L_2 TL R_1 R_3 L_2 D_6 R_5 R_5 R_1 R_0 R_1 R_5
